Age,Arm,Thigh,Weight,Seated,Leg,HtShoes,Ht
0.03,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.01,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.02,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.02,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.07,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.03,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.03,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0.01,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.03,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.01,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0,0.13,0.13,0.13,0.13,0.13,0.13,0.13
