HtShoes,Age,Arm,Thigh,Weight,Seated,Leg,Ht
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0,0.01,0.1,0.11,0.13,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0,0.01,0.1,0.11,0.13,0.16,0.19,0.2
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
0.01,0.01,0.1,0.11,0.12,0.16,0.19,0.19
