,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Execut_time
0,0.03,0.06,0.12,0.12,0.09,0.058,0.057,0.132,0.03
1,0.027829506,0.075025174,0.134533347,0.135726406,0.102671887,0.001972286,0.065061066,0.14302934,0.01
2,0.024064158,0.075568851,0.134221278,0.13541014,0.103393041,0.010317141,0.066117906,0.142947536,0.08
3,0.027383224,0.074899053,0.133628143,0.13517548,0.102038002,0.003089343,0.065701868,0.14345335,0.13
4,0.026574673,0.075047763,0.134429722,0.135840769,0.1026153,0.001502949,0.065228898,0.1456347,0.1
5,0.027193272,0.074044823,0.133423554,0.134931989,0.101698343,0.006050099,0.064382917,0.143622789,0.09
6,0.026411091,0.075147842,0.13480977,0.13715786,0.102649747,0.022921667,0.067231386,0.144723891,0.11
7,0.026945823,0.074939782,0.134527175,0.135958114,0.102672263,0.00195458,0.065004447,0.143303464,0.14
8,0.023887097,0.074898403,0.134517868,0.135827427,0.102302073,0.005356591,0.066246255,0.145347224,0.12
9,0.026872426,0.074379668,0.133772754,0.135188258,0.101984805,0.003957757,0.066263448,0.143670556,0.09
10,0.023377046,0.075310475,0.134901072,0.136925394,0.102509368,0.021032149,0.063695348,0.147352031,0.11
11,0.030368798,0.074857315,0.134145503,0.135439318,0.102531307,0.006532829,0.065651253,0.143125363,0.1
12,0.023540432,0.076993207,0.13255582,0.134843765,0.102681685,0.016420591,0.064404843,0.138554151,0.11
13,0.027547184,0.074669774,0.134357486,0.135755572,0.102258013,0.002897886,0.064893052,0.143570836,0.08
14,0.028180546,0.078840608,0.136193903,0.138911612,0.10356412,0.032043972,0.065252031,0.152362814,0.14
15,0.031929108,0.073600448,0.131394314,0.132766634,0.100745929,0.037256498,0.06380271,0.13242282,0.05
16,0.02463081,0.075665153,0.134013371,0.134874301,0.101958177,0.013283715,0.068519856,0.140670059,0.1
17,0.029156024,0.074976787,0.134735611,0.136259789,0.102722041,0.003752232,0.06471208,0.144766098,0.07
18,0.027194311,0.075570013,0.135865643,0.138373291,0.103299253,0.018060103,0.064130704,0.144138368,0.08
19,0.027219192,0.075057529,0.134311868,0.135741051,0.102433196,0.000569028,0.065236367,0.144740972,0.09
20,0.026838448,0.074863925,0.134146753,0.135345259,0.102196608,0.002614809,0.064974577,0.145312894,0.1
21,0.031026738,0.074946193,0.133342252,0.135167982,0.102370119,0.015745299,0.064401713,0.146941045,0.09
22,0.026378548,0.07547902,0.133505113,0.13529868,0.101750143,0.004871267,0.064779206,0.144029453,0.08
23,0.026472605,0.07469375,0.133880489,0.135096325,0.101940143,0.005289188,0.064609031,0.145630277,0.09
24,0.028331953,0.073737583,0.13300672,0.134115367,0.101096687,0.014906001,0.065069495,0.145503175,0.13
25,0.030242576,0.075356609,0.134685714,0.136208237,0.103745228,0.015046622,0.064134628,0.144462264,0.11
26,0.025302531,0.07518953,0.133776976,0.13548831,0.103796494,0.020770179,0.066804883,0.151340637,0.11
27,0.028735553,0.075803948,0.133438013,0.135226272,0.101933348,0.005746132,0.064313716,0.142253927,0.11
28,0.023035952,0.076552892,0.13297497,0.134921487,0.101465104,0.039616861,0.06203852,0.136752427,0.13
29,0.026120828,0.075731961,0.134269154,0.135191163,0.102257498,0.008733309,0.065202385,0.145526296,0.11
30,0.023567789,0.074521107,0.134432023,0.135741934,0.102099448,0.01174062,0.063785794,0.14348746,0.09
mean,0.026878608,0.075212306,0.134059879,0.135630273,0.102379312,0.011801723,0.065055013,0.143955874,0.098333333
std. dev,0.002315018,0.000981215,0.000923797,0.001137172,0.000711987,0.010589399,0.001215104,0.00368431,0.026663074
z_score,1.348323179,-15.50354012,-15.21966409,-13.74486677,-17.38698083,4.362691154,-6.629071887,-3.245078024,-3.6879968
p_value,0.088,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0005,0.00027
Significance,Not Significant,Significant,Significant,Significant,Significant,Significant,Significant,Significant,Significant
