,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Execution_time
0,0.03,0.06,0.12,0.12,0.09,0.058,0.057,0.132,0.03
1,0.035351559,0.079363825,0.152730156,0.152069947,0.11246108,0.069917136,0.067609454,0.016828789,0.03
2,0.031214453,0.07852155,0.148363812,0.149462873,0.112037252,0.070121244,0.067699379,0.012834356,0.11
3,0.036179212,0.077564873,0.146994763,0.14898464,0.109196927,0.070454909,0.06713634,0.011086003,0.07
4,0.036221484,0.078616698,0.149880371,0.151668273,0.111573211,0.071023477,0.066501789,0.000972227,0.06
5,0.035267857,0.078241844,0.148553673,0.150739857,0.110712529,0.069138446,0.065136193,0.016324404,0.1
6,0.037659356,0.079710681,0.151281146,0.154058502,0.112347875,0.072889714,0.067414546,0.028448736,0.08
7,0.032666346,0.079967553,0.152082737,0.1540839,0.112825357,0.072128714,0.066139474,0.025577604,0.09
8,0.032098323,0.078321842,0.149499623,0.151408296,0.111185117,0.072686124,0.06689619,0.006513941,0.08
9,0.03656086,0.077256501,0.148347949,0.149959961,0.110274081,0.070892091,0.067408956,0.00665386,0.09
10,0.034364316,0.078704813,0.149858264,0.151935835,0.111719071,0.071032564,0.066453306,0.002601815,0.11
11,0.039184024,0.079499473,0.150697109,0.152021522,0.112156613,0.070269364,0.06860727,0.017177121,0.06
12,0.02950032,0.083075558,0.145855735,0.149071751,0.11312462,0.067727868,0.067166362,0.052785124,0.13
13,0.035748473,0.078022395,0.149117884,0.150942028,0.110975654,0.070819469,0.066814161,0.004155116,0.07
14,0.038021495,0.07948122,0.151035417,0.153234444,0.112120318,0.071824484,0.06715184,0.009942751,0.09
15,0.045953384,0.076610923,0.14655429,0.148287624,0.109313605,0.073383999,0.066844778,0.029270751,0.09
16,0.035011132,0.078340807,0.148516924,0.149799426,0.110732367,0.071706003,0.067992079,0.015498597,0.08
17,0.039349154,0.080012087,0.150354783,0.15163967,0.112233523,0.071362366,0.065988409,0.011144756,0.1
18,0.036524158,0.077540248,0.149505685,0.152206961,0.111617753,0.070628856,0.06605418,0.015931857,0.05
19,0.036523623,0.078079162,0.149359631,0.151071869,0.11112347,0.070825129,0.066109882,0.004077476,0.11
20,0.036939867,0.078318904,0.149494156,0.151237877,0.111208103,0.070548742,0.066433443,0.002447733,0.14
21,0.037312668,0.078067518,0.149425385,0.150916024,0.111097746,0.070449862,0.065700277,0.005777905,0.12
22,0.033461844,0.080967729,0.147365106,0.149587197,0.110374986,0.071753194,0.068571277,0.009904743,0.09
23,0.035846403,0.078588227,0.150446305,0.151927411,0.11197755,0.070844868,0.066452586,0.002387109,0.11
24,0.036926452,0.078442411,0.150176147,0.151526854,0.111723618,0.070696755,0.066847388,0.003460909,0.11
25,0.041086505,0.083716833,0.153043286,0.157315533,0.114722976,0.069762408,0.066267981,0.072263687,0.12
26,0.036807587,0.078365029,0.14949871,0.15130624,0.111694248,0.070889705,0.066838174,0.002269334,0.1
27,0.036971615,0.079061677,0.149832999,0.152472053,0.111734435,0.071289855,0.066167907,0.004669523,0.1
28,0.037451278,0.079264817,0.146453874,0.148004012,0.1091266,0.072130801,0.064140124,0.017743179,0.1
29,0.038120666,0.080241542,0.148725587,0.149985087,0.110915683,0.071775173,0.066261438,0.016279604,0.1
30,0.037079976,0.07810024,0.148870601,0.150909678,0.111078783,0.070959648,0.066377394,0.004926116,0.08
mean,0.036380146,0.079002233,0.149397404,0.151261178,0.111446172,0.070997766,0.066706086,0.014331838,0.092333333
std.dev,0.00302404,0.001521402,0.001726986,0.001882876,0.001165553,0.001122523,0.000927631,0.015459156,0.023879487
z_score,-2.109808586,-12.48994931,-17.02237833,-16.60288489,-18.39999578,-11.57906428,-10.46330423,7.611551468,-2.610329652
p_value,0.017,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0045
significance,Significant,Significant,Significant,Significant,Significant,Significant,Significant,Significant,Significant
